contract	open	high	low	close	change	chgRate	average	volume	turnover
2017-01-18	Au(T+D)	272.59	272.59	270.80	270.99	-0.90	-0.33%	271.90	71,134.00	19,341,334,000.00
2017-01-17	Au(T+D)	270.31	272.38	269.95	271.88	1.45	0.54%	271.19	66,164.00	17,943,016,000.00
2017-01-16	Au(T+D)	268.90	270.67	268.05	270.43	1.79	0.67%	269.38	73,898.00	19,906,644,000.00
2017-01-13	Au(T+D)	270.01	270.05	268.30	268.64	-0.70	-0.26%	268.87	73,260.00	19,697,416,000.00
2017-01-12	Au(T+D)	268.90	269.56	266.21	269.38	0.63	0.23%	268.30	133,676.00	35,865,268,000.00
2017-01-11	Au(T+D)	268.28	269.00	267.91	268.73	0.60	0.22%	268.59	67,278.00	18,070,198,000.00
2017-01-10	Au(T+D)	265.90	268.45	265.73	268.14	2.70	1.02%	267.17	94,786.00	25,323,976,000.00
2017-01-09	Au(T+D)	264.91	265.81	264.50	265.41	0.69	0.26%	265.13	73,606.00	19,515,160,000.00
2017-01-06	Au(T+D)	264.37	265.31	264.37	264.72	0.06	0.02%	264.90	64,976.00	17,212,142,000.00
2017-01-05	Au(T+D)	264.75	265.30	263.70	264.66	0.04	0.02%	264.53	77,946.00	20,619,056,000.00
2017-01-04	Au(T+D)	263.30	265.00	263.24	264.62	1.03	0.39%	264.33	64,314.00	17,000,118,000.00
2017-01-03	Au(T+D)	263.20	264.60	262.95	263.60	-0.74	-0.28%	264.09	45,714.00	12,072,610,000.00
2016-12-30	Au(T+D)	262.25	265.80	262.20	264.34	1.81	0.69%	264.17	84,776.00	22,395,278,000.00
2016-12-29	Au(T+D)	261.30	262.62	260.89	262.50	0.78	0.30%	262.05	62,706.00	16,432,107,000.00
2016-12-28	Au(T+D)	261.80	262.39	261.00	261.85	0.68	0.26%	261.75	52,176.00	13,657,068,000.00
2016-12-27	Au(T+D)	260.83	261.40	260.40	261.17	0.34	0.13%	260.99	55,234.00	14,415,521,000.00
2016-12-26	Au(T+D)	259.88	260.90	259.35	260.83	0.95	0.37%	260.10	36,632.00	9,527,983,000.00
2016-12-23	Au(T+D)	259.15	260.50	258.30	259.88	0.43	0.17%	259.42	62,030.00	16,091,823,000.00
2016-12-22	Au(T+D)	260.47	260.90	258.93	259.45	-1.41	-0.54%	259.79	51,218.00	13,305,925,000.00
2016-12-21	Au(T+D)	261.60	261.79	258.24	260.86	-0.97	-0.37%	259.77	113,588.00	29,506,642,000.00
2016-12-20	Au(T+D)	262.45	262.96	261.40	261.83	-0.84	-0.32%	262.32	45,578.00	11,956,021,000.00
2016-12-19	Au(T+D)	262.27	263.04	261.71	262.70	0.93	0.36%	262.56	46,096.00	12,102,966,000.00
2016-12-16	Au(T+D)	261.29	262.78	261.25	261.84	-1.31	-0.50%	262.04	90,810.00	23,795,854,000.00
2016-12-15	Au(T+D)	265.53	266.80	261.50	263.15	-2.34	-0.88%	263.79	105,874.00	27,928,504,000.00
2016-12-14	Au(T+D)	264.38	265.68	264.00	265.42	0.44	0.17%	264.94	58,254.00	15,433,815,000.00
2016-12-13	Au(T+D)	265.55	265.55	263.67	264.96	0.68	0.26%	264.63	43,466.00	11,502,408,000.00
2016-12-12	Au(T+D)	265.12	265.68	263.67	264.30	-1.53	-0.58%	264.57	61,662.00	16,313,916,000.00
2016-12-09	Au(T+D)	266.38	266.95	264.78	265.83	-0.46	-0.17%	265.79	55,692.00	14,802,377,000.00
